wind_onshore,pv,load,installed_renewables
0.906,0.675,0.08752191781,0.675
0.922,0.575,0.08469863014,0.575
0.936,0.415,0.08281643836,0.415
0.948,0.193,0.08281643836,0.193
0.954,0.005,0.08469863014,0.005
0.962,0,0.09881506849,0
0.968,0,0.1035205479,0
0.964,0,0.09881506849,0
0.957,0,0.09222739726,0
0.948,0,0.07716986301,0
0.938,0,0.06681780822,0
0.930,0,0.06399452055,0
0.922,0,0.06023013699,0
0.917,0,0.05834794521,0
0.917,0,0.05740684932,0
0.915,0,0.0592890411,0
0.906,0,0.06587671233,0
0.895,0.051,0.06964109589,0.051
0.893,0.225,0.07434657534,0.225
0.886,0.398,0.07622876712,0.398
0.866,0.540,0.07905205479,0.540
0.839,0.641,0.08469863014,0.641
0.809,0.671,0.08658082192,0.671
0.797,0.640,0.08658082192,0.640
0.801,0.539,0.08752191781,0.539
0.818,0.391,0.08469863014,0.391
0.839,0.231,0.08281643836,0.231
0.858,0.096,0.08281643836,0.096
0.865,0.003,0.08469863014,0.003
0.877,0,0.09881506849,0
0.896,0,0.1035205479,0
0.911,0,0.09881506849,0
0.915,0,0.09222739726,0
0.912,0,0.07716986301,0
0.906,0,0.06681780822,0
0.901,0,0.06399452055,0
0.906,0,0.06023013699,0
0.907,0,0.05834794521,0
0.909,0,0.05740684932,0
0.895,0,0.0592890411,0
0.874,0,0.06587671233,0
0.864,0.062,0.06964109589,0.062
0.872,0.264,0.07434657534,0.264
0.867,0.441,0.07622876712,0.441
0.840,0.550,0.07905205479,0.550
0.820,0.602,0.08469863014,0.602
0.815,0.623,0.08658082192,0.623
0.816,0.626,0.08658082192,0.626
0.828,0.583,0.08752191781,0.583
0.851,0.485,0.08469863014,0.485
0.877,0.329,0.08281643836,0.329
0.898,0.140,0.08281643836,0.140
0.896,0.003,0.08469863014,0.003
0.902,0,0.09881506849,0
0.916,0,0.1035205479,0
0.920,0,0.09881506849,0
0.914,0,0.09222739726,0
0.920,0,0.07716986301,0
0.924,0,0.06681780822,0
0.929,0,0.06399452055,0
0.940,0,0.06023013699,0
0.943,0,0.05834794521,0
0.941,0,0.05740684932,0
0.933,0,0.0592890411,0
0.928,0,0.06587671233,0
0.923,0.043,0.06964109589,0.043
0.936,0.222,0.07434657534,0.222
0.942,0.417,0.07622876712,0.417
0.942,0.573,0.07905205479,0.573
0.939,0.664,0.08469863014,0.664
0.941,0.695,0.08658082192,0.695
0.939,0.675,0.08658082192,0.675
0.938,0.609,0.08752191781,0.609
0.940,0.502,0.08469863014,0.502
0.943,0.338,0.08281643836,0.338
0.944,0.138,0.08281643836,0.138
0.940,0.003,0.08469863014,0.003
0.938,0,0.09881506849,0
0.938,0,0.1035205479,0
0.937,0,0.09881506849,0
0.932,0,0.09222739726,0
0.930,0,0.07716986301,0
0.932,0,0.06681780822,0
0.931,0,0.06399452055,0
0.926,0,0.06023013699,0
0.917,0,0.05834794521,0
0.913,0,0.05740684932,0
0.907,0,0.0592890411,0
0.890,0,0.06587671233,0
0.877,0.057,0.06964109589,0.057
0.896,0.271,0.07434657534,0.271
0.909,0.497,0.07622876712,0.497
0.906,0.632,0.07905205479,0.632
0.895,0.713,0.08469863014,0.713
0.884,0.748,0.08658082192,0.748
0.873,0.735,0.08658082192,0.735
0.869,0.682,0.08752191781,0.682
0.874,0.576,0.08469863014,0.576
0.874,0.420,0.08281643836,0.420
0.867,0.196,0.08281643836,0.196
0.858,0.006,0.08469863014,0.006
0.862,0,0.09881506849,0
0.901,0,0.1035205479,0
0.928,0,0.09881506849,0
0.945,0,0.09222739726,0
0.942,0,0.07716986301,0
0.938,0,0.06681780822,0
0.940,0,0.06399452055,0
0.942,0,0.06023013699,0
0.939,0,0.05834794521,0
0.947,0,0.05740684932,0
0.952,0,0.0592890411,0
0.944,0,0.06587671233,0
0.936,0.062,0.06964109589,0.062
0.938,0.293,0.07434657534,0.293
0.941,0.492,0.07622876712,0.492
0.934,0.619,0.07905205479,0.619
0.925,0.705,0.08469863014,0.705
0.916,0.739,0.08658082192,0.739
0.903,0.727,0.08658082192,0.727
0.898,0.665,0.08752191781,0.665
0.906,0.563,0.08469863014,0.563
0.919,0.408,0.08281643836,0.408
0.935,0.196,0.08281643836,0.196
0.943,0.007,0.08469863014,0.007
0.953,0,0.09881506849,0
0.960,0,0.1035205479,0
0.964,0,0.09881506849,0
0.964,0,0.09222739726,0
0.965,0,0.07716986301,0
0.967,0,0.06681780822,0
0.969,0,0.06399452055,0
0.964,0,0.06023013699,0
0.950,0,0.05834794521,0
0.938,0,0.05740684932,0
0.928,0,0.0592890411,0
0.914,0,0.06587671233,0
0.911,0.087,0.06964109589,0.087
0.931,0.330,0.07434657534,0.330
0.943,0.513,0.07622876712,0.513
0.934,0.639,0.07905205479,0.639
0.922,0.718,0.08469863014,0.718
0.912,0.745,0.08658082192,0.745
0.902,0.723,0.08658082192,0.723
0.897,0.648,0.08752191781,0.648
0.902,0.510,0.08469863014,0.510
0.906,0.315,0.08281643836,0.315
0.910,0.110,0.08281643836,0.110
0.902,0.003,0.08469863014,0.003
0.900,0,0.09881506849,0
0.913,0,0.1035205479,0
0.908,0,0.09881506849,0
0.897,0,0.09222739726,0
0.891,0,0.07716986301,0
0.860,0,0.06681780822,0
0.806,0,0.06399452055,0
0.775,0,0.06023013699,0
0.800,0,0.05834794521,0
0.817,0,0.05740684932,0
0.800,0,0.0592890411,0
0.756,0,0.06587671233,0
0.703,0.053,0.06964109589,0.053
0.701,0.276,0.07434657534,0.276
0.694,0.495,0.07622876712,0.495
0.668,0.612,0.07905205479,0.612
0.637,0.670,0.08469863014,0.670
0.617,0.690,0.08658082192,0.690
0.602,0.675,0.08658082192,0.675
0.586,0.579,0.08752191781,0.579
0.583,0.424,0.08469863014,0.424
0.591,0.250,0.08281643836,0.250
0.615,0.094,0.08281643836,0.094
0.616,0.002,0.08469863014,0.002
0.619,0,0.09881506849,0
0.640,0,0.1035205479,0
0.670,0,0.09881506849,0
0.708,0,0.09222739726,0
0.698,0,0.07716986301,0
0.690,0,0.06681780822,0
0.726,0,0.06399452055,0
0.766,0,0.06023013699,0
0.776,0,0.05834794521,0
0.780,0,0.05740684932,0
0.781,0,0.0592890411,0
0.782,0,0.06587671233,0
0.782,0.051,0.06964109589,0.051
0.794,0.240,0.07434657534,0.240
0.788,0.466,0.07622876712,0.466
0.769,0.612,0.07905205479,0.612
0.768,0.689,0.08469863014,0.689
0.787,0.714,0.08658082192,0.714
0.814,0.711,0.08658082192,0.711
0.837,0.671,0.08752191781,0.671
0.850,0.572,0.08469863014,0.572
0.856,0.410,0.08281643836,0.410
0.840,0.178,0.08281643836,0.178
0.809,0.004,0.08469863014,0.004
0.785,0,0.09881506849,0
0.798,0,0.1035205479,0
0.813,0,0.09881506849,0
0.818,0,0.09222739726,0
0.853,0,0.07716986301,0
0.880,0,0.06681780822,0
0.904,0,0.06399452055,0
0.906,0,0.06023013699,0
0.900,0,0.05834794521,0
0.911,0,0.05740684932,0
0.896,0,0.0592890411,0
0.846,0,0.06587671233,0
0.780,0.078,0.06964109589,0.078
0.801,0.343,0.07434657534,0.343
0.816,0.517,0.07622876712,0.517
0.821,0.659,0.07905205479,0.659
0.813,0.720,0.08469863014,0.720
0.808,0.709,0.08658082192,0.709
0.805,0.622,0.08658082192,0.622
0.807,0.526,0.08752191781,0.526
0.812,0.455,0.08469863014,0.455
0.815,0.363,0.08281643836,0.363
0.818,0.199,0.08281643836,0.199
0.798,0.009,0.08469863014,0.009
0.780,0,0.09881506849,0
0.783,0,0.1035205479,0
0.778,0,0.09881506849,0
0.782,0,0.09222739726,0
0.752,0,0.07716986301,0
0.774,0,0.06681780822,0
0.737,0,0.06399452055,0
0.676,0,0.06023013699,0
0.669,0,0.05834794521,0
0.686,0,0.05740684932,0
0.704,0,0.0592890411,0
0.690,0,0.06587671233,0
0.648,0.073,0.06964109589,0.073
0.669,0.278,0.07434657534,0.278
0.705,0.451,0.07622876712,0.451
0.693,0.567,0.07905205479,0.567
0.648,0.652,0.08469863014,0.652
0.600,0.714,0.08658082192,0.714
0.571,0.724,0.08658082192,0.724
0.562,0.667,0.08752191781,0.667
0.569,0.560,0.08469863014,0.560
0.586,0.402,0.08281643836,0.402
0.638,0.193,0.08281643836,0.193
0.681,0.007,0.08469863014,0.007
